"=""Recurso""";"=""Unid.""";"=""Média""";"=""CMA""";"=""Simulado""";"=""Qtd.Est.""";"=""Ped.Pend.""";"=""Saldo""";"=""Cust.Unit.""";"=""TRP""";"=""DEE"""
"=""507120 - OLEO DESENGRIPANTE SPRAY (M1/ WD-40) 300ML""";"=""Un""";"0";"0";"1";"0";"0";"-1";"34,43";;"0"
"=""507124 - OLEO DESENGRIPANTE SPRAY (M1/ WD-40) 500ML""";"=""Un""";"13,6666666666667";"9";"1";"0";"0";"-1";"36,8";;"0"
"=""507132 - OLEO MINERAL P COMPRES PARAF""";"=""L""";"0";"0";"1";"0";"0";"-1";"166,23";;"0"
"=""507500 - OLEO LUBSCHULZ 8000 HRS""";"=""L""";"0";"0";"1";"0";"0";"-1";"277,9175";;"0"
"=""508963 - OLEO 220 MANCAL""";"=""L""";"0";"0";"1";"0";"0";"-1";"22,219";;"0"
"=""509018 - LUBRIFICANTE SILICONE SPRAY 230 GS""";"=""Un""";"3,33333333333333";"0";"1";"0";"0";"-1";"36,9";;"0"
"=""509037 - INDUZIDO 220V F000605225 CÓD.48302""";"=""Un""";"0";"0";"1";"0";"0";"-1";"289,9";;"0"
"=""509145 - PARAF ALLEN C/CHATA 8MM X 20MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,55";;"0"
"=""509324 - REGULADOR DE PRESSÃO OXIGENIO R82 METAL GAS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"320";;"0"
"=""509479 - MANG. BORRACHA P/ TINTA E SOLVENTE 3/8"""" REF.: ARC-MBTD""";"=""M""";"0";"0";"1";"0";"0";"-1";"47,25";;"0"
"=""509506 - LINGA QUÁDRUPLA SR4""";"=""Un""";"1";"0";"1";"0";"0";"-1";"324,24";;"0"
"=""509507 - CORRENTE 8MM X 2300MM P/ LINGA QUÁDRUPLA SR4""";"=""Un""";"1";"0";"1";"0";"0";"-1";"523,39";;"0"
"=""509508 - MANGUEIRA HIDRAULICA ALTA TEMPERATURA 5/8"""" X 650MM~670MM C/ TERMINAIS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"116,86";;"0"
"=""509509 - MANGUEIRA HIDRAULICA ALTA TEMPERATURA 1"""" X 410MM~690MM C/ TERMINAIS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"373,66";;"0"
"=""509510 - MANGUEIRA HIDRAULICA ALTA TEMPERATURA 1/2"""" X 1000MM C/ TERMINAIS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"130,28";;"0"
"=""509514 - ARRUELA 340 X 380 X 13 PSA-108 NBR""";"=""Un""";"0";"0";"1";"0";"0";"-1";"570";;"0"
"=""509595 - GRAXA LUB NSK LÍTIO""";"=""KG""";"0";"0";"1";"0";"0";"-1";"76,945";;"0"
"=""512327 - CHAVETA EM AÇO TREF. 1045 8X8X500MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"41";;"0"
"=""512328 - CHAVETA EM AÇO TREF. 1045 10X10X500MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"56";;"0"
"=""515458 - VALVULA SOLENOIDE 2 VIAS ROSCA 1/4"""" 24V""";"=""Un""";"0";"0";"1";"0";"0";"-1";"510,88";;"0"
"=""533082 - CB FLEX 1KV 04X002,5MM PT""";"=""M""";"0";"0";"1";"0";"0";"-1";"9,3";;"0"
"=""533095 - CB FLEX 1KV 04X004,00MM PT""";"=""Mt""";"0";"0";"1";"0";"0";"-1";"14,15";;"0"
"=""533136 - ABRACADEIRA NYLON 300MM X 4,06MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,22";;"0"
"=""533197 - CHAVE COMBINADA 3/4""""""";"=""Un""";"0,666666666666667";"0";"1";"0";"0";"-1";"28,34";;"0"
"=""533237 - ABRAC. NYLON 0150MMX3.60MM NT T030R""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,06";;"0"
"=""533302 - FUSIVEL DIAZED RET gL/gG 500V 50A (DZGL050)""";"=""Un""";"0";"0";"1";"0";"0";"-1";"6,09";;"0"
"=""533646 - CHAVE REVERSORA 2 POSIÇÃO CÓD.901893""";"=""Un""";"0";"0";"1";"0";"0";"-1";"472";;"0"
"=""533819 - CB CONTROL 1KV 12 X 1,5MM""";"=""M""";"0";"0";"1";"0";"0";"-1";"26,7204";;"0"
"=""533953 - GRAMPO TERRA GARRA NEGATIVA 500 AMP BZE""";"=""Un""";"2";"0";"1";"0";"0";"-1";"75";;"0"
"=""534007 - CONEC SINDAL 10,0MM 250V 57A""";"=""Un""";"0";"0";"1";"0";"0";"-1";"35,39";;"0"
"=""534140 - CHAVE PHILIPS 1/4"""" X 6"""" ISOLADA NR10""";"=""Un""";"0";"0";"1";"0";"0";"-1";"35";;"0"
"=""534357 - ABRAC INSUL 200MM X 4,60MM NT""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,07";;"0"
"=""534474 - FILTRO REFIL P/ UN HIDRAULICA MESA TROCA CS3000 CÓD. WELLE 10751""";"=""Un""";"0";"0";"1";"0";"0";"-1";"276,3";;"0"
"=""534475 - KIT TRATAMENTO AGUA CHILLER 1 E 2K CÓD. WELLE 9821""";"=""Un""";"0";"0";"1";"0";"0";"-1";"70";;"0"
"=""534476 - GUIA DESLIZANTE CÓD. WELLE CS3000.30.20.073""";"=""Un""";"0";"0";"1";"0";"0";"-1";"442,3";;"0"
"=""534477 - BUCHA DESLIZANTE CÓD. WELLE CS3000.30.20.093""";"=""Un""";"0";"0";"1";"0";"0";"-1";"2024,1";;"0"
"=""534478 - CHAVE FENDA 3/16"""" X 4""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"19,01";;"0"
"=""534479 - CHAVE FENDA 3/16"""" X 3""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"20,99";;"0"
"=""534480 - CHAVE COMBINADA 1/2""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"13,39";;"0"
"=""534481 - CHAVE COMBINADA 20MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"29,62";;"0"
"=""534482 - SENSOR INDUTIVO I12-2 DPC PNP 4 FIOS 1NA+1NF""";"=""Un""";"0";"0";"1";"0";"0";"-1";"143,25";;"0"
"=""534486 - CHAVE DE FENDA 1/4"""" X 6 ISOLAMENTO""";"=""Un""";"0";"0";"1";"0";"0";"-1";"30";;"0"
"=""534514 - TOCHA MIG SBME450 C/RASPA 5,0M CÓD.MW303""";"=""Un""";"1,33333333333333";"4";"1";"0";"0";"-1";"1136,25";;"0"
"=""534520 - SARGENTO 100X95X170MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"27,9";;"0"
"=""534521 - SARGENTO 75X75X130MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"19,9";;"0"
"=""534554 - PROJETOR LED 6500K IP66 BIV 4000LM 50W""";"=""Un""";"0";"0";"1";"0";"0";"-1";"180";;"0"
"=""545130 - ACO LAMINADO RED 2.1/4""""  4340""";"=""KG""";"0";"0";"1";"0";"0";"-1";"40";;"0"
"=""545131 - ACO LAMINADO RED 5.1/4""""  1045""";"=""KG""";"0";"0";"1";"0";"0";"-1";"23,6";;"0"
"=""561514 - CORREIA A  71""";"=""Un""";"0";"0";"1";"0";"0";"-1";"43";;"0"
"=""562235 - CORREIA B 62""";"=""Un""";"0";"0";"1";"0";"0";"-1";"48";;"0"
"=""592635 - TARUGO NYLON 60MM (NYLON 6.0)""";"=""KG""";"0";"0";"1";"0,006";"0";"-0,994";"79";;"0"
"=""596684 - ABRACADEIRA NYLON 2,5 X 140 TR-30""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,16";;"0"
"=""596685 - ABRACADEIRA NYLON 2,5 X 200MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,12";;"0"
"=""596686 - ABRACADEIRA NYLON 4,8 X 380/400MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,25";;"0"
"=""596687 - ABRACADEIRA NYLON 7,6 X 400MM TR-120R""";"=""Un""";"0";"0";"1";"0";"0";"-1";"0,3";;"0"
"=""599087 - CARRO DE MÃO REFORÇADO""";"=""Un""";"0";"0";"1";"0";"0";"-1";"250";;"0"
"=""599088 - PNEU P/ CARRO DE MÃO 325 X 8""";"=""Un""";"1";"0";"1";"0";"0";"-1";"81,19";;"0"
"=""599106 - LINHA NYLON Nº8""";"=""Un""";"0";"0";"1";"0";"0";"-1";"17,5";;"0"
"=""599509 - CIMENTO PRONTO 25KG""";"=""Un""";"0";"0";"1";"0";"0";"-1";"65";;"0"
"=""599569 - ABRACADEIRA S/ FIM 09MM 1/2"""" A 5/8""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"4,9";;"0"
"=""600152 - CHAVE GRIF 24""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"228,32";;"0"
"=""600160 - CHAVE COMBINADA 9/16""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"20,53";;"0"
"=""600395 - JG CHAVE SOQ ENC GEDORE 1/2 10 A 32""";"=""Un""";"0";"0";"1";"0";"0";"-1";"350";;"0"
"=""600421 - CHAVE COMB 10MM""";"=""Un""";"0";"0";"1";"0";"0";"-1";"14,9";;"0"
"=""600448 - CH AJUST 06 FOSFATIZADA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"56,5";;"0"
"=""600534 - CHAVE COMB 36MM""";"=""Un""";"0,333333333333333";"0";"1";"0";"0";"-1";"485";;"0"
"=""600596 - ALICATE DE COMPRESSÃO TRAMONTINA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1050";;"0"
"=""601434 - REBITADOR ALAVANCA RA 450 VONDER""";"=""Un""";"0,666666666666667";"0";"1";"0";"0";"-1";"169";;"0"
"=""610306 - TRENA 3 M""";"=""Un""";"3,33333333333333";"10";"1";"0";"0";"-1";"14,5";;"0"
"=""610307 - TRENA 8 M""";"=""Un""";"1";"3";"1";"0";"0";"-1";"43,5";;"0"
"=""610402 - TRENA 5 M""";"=""Un""";"3,33333333333333";"10";"1";"0";"0";"-1";"22,5";;"0"
"=""610403 - TRENA 10 M""";"=""Un""";"0";"0";"1";"0";"0";"-1";"79,9";;"0"
"=""641285 - BROCA AR  1/2  HAST.CIL.DIN338""";"=""Un""";"0";"0";"1";"0";"0";"-1";"21,07";;"0"
"=""641872 - BROCA CONICA 37/64    DIN 345""";"=""Un""";"0";"0";"1";"0";"0";"-1";"76,94";;"0"
"=""643106 - BROCA DE CENTRO 5/16X3/4""";"=""Un""";"0";"0";"1";"0";"0";"-1";"50,16";;"0"
"=""643465 - BROCA TOPO 12MM     4 NAVALHAS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"38,95";;"0"
"=""645014 - MACHO MÁQ HEL. 1/4 UNC DIN2182-280/2""";"=""Un""";"0";"0";"1";"0";"0";"-1";"59,42";;"0"
"=""648712 - INS GRIP 4004Y IC808""";"=""Un""";"0";"0";"1";"0";"0";"-1";"86";;"0"
"=""649038 - INS 22  I R M  AG 60 - IC 250""";"=""Un""";"0";"0";"1";"0";"0";"-1";"65,9";;"0"
"=""649654 - INSERTO MGMN 200 RWM215""";"=""Un""";"0";"0";"1";"0";"0";"-1";"50";;"0"
"=""650080 - INS TNMG 16.04.08 - TF IC 9250""";"=""Un""";"0";"0";"1";"0";"0";"-1";"34,9";;"0"
"=""650091 - INS TNMG 16.04.04 R-VF TT 8125""";"=""Un""";"0";"0";"1";"0";"0";"-1";"32,5";;"0"
"=""650309 - INS TDC 2 TT7220 (SANGRAR)""";"=""Un""";"0";"0";"1";"0";"0";"-1";"67,5";;"0"
"=""650310 - INS TDC 2 - 8L TT7220""";"=""Un""";"0";"0";"1";"0";"0";"-1";"38,5";;"0"
"=""698749 - KIT FERRAMENTAS 178 PEÇAS MASTER ROBUST""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1425,11";;"0"
"=""700032 - LENTE P/MASCARA EXTERNA ORIGOTECH REF.0719290 ESAB""";"=""Un""";"3";"0";"1";"0";"0";"-1";"12";;"0"
"=""700074 - PERFURADOR GENMES REF. 9780""";"=""Un""";"0";"0";"1";"0";"0";"-1";"28";;"0"
"=""700098 - TECLADO + MOUSE""";"=""Un""";"3,33333333333333";"4";"1";"0";"0";"-1";"116,05";;"0"
"=""700128 - FONTE ATX 500W BIV 20+4P 12 50 ADVANCED""";"=""Un""";"0";"0";"1";"0";"0";"-1";"159";;"0"
"=""700171 - SUPORTE P/ PAPEL TOALHA""";"=""Un""";"0,333333333333333";"1";"1";"0";"0";"-1";"36,25";;"0"
"=""700206 - LIXEIRA SIMPLES 12LTS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"29,5";;"0"
"=""700295 - QUADRO DE AVISO ACRILICO A4 CRISTAL 23 X 31 WALEU""";"=""Un""";"6";"18";"1";"0";"0";"-1";"18";;"0"
"=""700408 - CARREGADOR CEL. V8 2USB 4.8A CARG5184""";"=""Un""";"0";"0";"1";"0";"0";"-1";"39,99";;"0"
"=""700409 - CARREGADOR CEL. MOTOROLA TURBO""";"=""Un""";"1,33333333333333";"0";"1";"0";"0";"-1";"25";;"0"
"=""700441 - TOUCA DESC TNT C/ 100 UNIDS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"16";;"0"
"=""700452 - REFIL TINTA 65ML T544 EPSON""";"=""Un""";"1,33333333333333";"0";"1";"0";"0";"-1";"62,9";;"0"
"=""700456 - ALCOOL GEL 70º 1000ML""";"=""L""";"11,6666666666667";"5";"1";"0";"0";"-1";"38,9";;"0"
"=""700789 - SUPORTE PARA NOTEBOOK C/ COOLER""";"=""Un""";"0,333333333333333";"1";"1";"0";"0";"-1";"90";;"0"
"=""701006 - CALÇA RETARDANTE A CHAMA SANTISTA PARA ELETRICISTA""";"=""Un""";"2,66666666666667";"0";"1";"0";"0";"-1";"175";;"0"
"=""701052 - CAMISA RETARDANTE A CHAMA PARA ELETRICISTA""";"=""Un""";"2,66666666666667";"8";"1";"0";"0";"-1";"180";;"0"
"=""701101 - MOUSE PAD STANDARD""";"=""Un""";"5";"0";"1";"0";"0";"-1";"9,9";;"0"
"=""701404 - CALÇA CEDROPAC 2 C/ ELÁSTICO CINZA""";"=""Un""";"33,3333333333333";"100";"1";"0";"0";"-1";"70,41";;"0"
"=""701455 - CAMISA EM MALHA PP GOLA CARECA M. CURTA CINZA CLARO""";"=""Un""";"25";"75";"1";"0";"0";"-1";"29,95";;"0"
"=""702056 - FILTRO PROTIN CQ-A VAP. ORGÂ.""";"=""Un""";"0";"0";"1";"0";"0";"-1";"14,85";;"0"
"=""702060 - RESPIRADOR SEMI FACIAL 6000/6200 MED CA4115""";"=""Un""";"0";"0";"1";"0";"0";"-1";"107,95";;"0"
"=""702065 - RESPIRADOR DESCARTÁVEL CARVÃO PFF1 CA448- 3M""";"=""Un""";"8,66666666666667";"0";"1";"0";"0";"-1";"12,95";;"0"
"=""702075 - OCULOS AMPLA VISÃO KALIPSO""";"=""Un""";"0,666666666666667";"0";"1";"0";"0";"-1";"54,15";;"0"
"=""702095 - PROTETOR SOLAR FPS 30""";"=""L""";"0";"0";"1";"0";"0";"-1";"105";;"0"
"=""712049 - EXTRATOR DE GRAMPOS""";"=""Un""";"0,666666666666667";"0";"1";"0";"0";"-1";"3,2";;"0"
"=""712063 - FITA ADESIVA 12MMX50M""";"=""Un""";"0";"0";"1";"0";"0";"-1";"12,5";;"0"
"=""712103 - CX CLIPS No. 2/0 C/ 100 UNIDS""";"=""Un""";"1";"2";"1";"0";"0";"-1";"3,5";;"0"
"=""717010 - PAPEL HIGIENICO""";"=""RL""";"106,666666666667";"0";"1";"0";"0";"-1";"0,745";;"0"
"=""745005 - PASTA A-Z OFICIO""";"=""Un""";"0";"0";"1";"0";"0";"-1";"10,6";;"0"
"=""754122 - SOLUÇÃO AK PH 7 250 ML""";"=""Un""";"5,66666666666667";"0";"1";"0";"0";"-1";"22";;"0"
"=""754124 - SOLUÇÃO AK PH 4 250 ML""";"=""Un""";"0";"0";"1";"0";"0";"-1";"26";;"0"
"=""754125 - SOLUÇÃO AK KCL 3M CLORETO DE POTASSIO 250 ML""";"=""Un""";"0";"0";"1";"0";"0";"-1";"32,6";;"0"
"=""796532 - RODO PARA PIA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1,89";;"0"
"=""110437 - CHUMBO LINGOTE PURO MOLE""";"=""KG""";"50";"0";"1";"655,5";"0";"654,5";"26";;"0"
"=""117112 - TARUGO NYLON RED. DE 35mm.""";"=""M""";"0";"0";"1";"5,982";"0";"4,982";"75";;"0"
"=""212098 - ARRUELA LISA 1/4"""" GALV""";"=""Un""";"28";"0";"1";"2632";"0";"2631";"0,0569";;"0"
"=""212507 - ARR. DE PRES. MÉDIA - ZB 1/4""""""";"=""Un""";"238,666666666667";"500";"1";"4874";"0";"4873";"0,0353";"20";"408,435754189944"
"=""216537 - BORRACHA VEDAÇÃO CÓD. 84601-01""";"=""M""";"8,33333333333333";"0";"1";"175";"0";"174";"7,99";"20";"420"
"=""222195 - TOMADA P/ REBOQUE FEMEA 7 POLOS PRETA""";"=""Un""";"0";"0";"1";"8";"0";"7";"33,44";;"0"
"=""222196 - TOMADA P/ REBOQUE MACHO 7 POLOS PRETA""";"=""Un""";"0";"0";"1";"8";"0";"7";"21";;"0"
"=""222327 - PINO ELÁSTICO 6 X 50 (DIN 1481)""";"=""Un""";"0";"0";"1";"172";"0";"171";"0,34";;"0"
"=""222434 - AÇO MT 50.8 CROMADO SAE 1045 NORMAL 2"""" - CBH/CBHM 5t / 7t""";"=""Un""";"51";"12";"1";"147";"100";"246";"207,48";;"0"
"=""226208 - CORRENTE ELO 5/16 F. POLIDO""";"=""KG""";"0";"0";"1";"36,185";"0";"35,185";"43";;"0"
"=""240461 - ADAPTADOR 3/4""""-16 PTT-30°""";"=""Un""";"18";"3";"1";"78";"0";"77";"2,8571";"25";"108,333333333333"
"=""257086 - PARAF ALLEN C/ CAB 1/4 X 5/8""""  UNF (NÃO USAR, SUBSTITUÍDO.)""";"=""Un""";"0";"0";"1";"4725";"0";"4724";"0,468";"5";"23625"
"=""258003 - PARAF SEX   3/8 X 1.1/4   UNC ZB""";"=""Un""";"28";"43";"1";"520";"0";"519";"0,6141";"20";"371,428571428571"
"=""258155 - PARAF SEX   1/2 X 3.1/2  UNC  ZB""";"=""Un""";"1081,33333333333";"1032";"1";"82";"3000";"3081";"2,1126";"35";"2,65413070283601"
"=""258234 - PARAF SEX   3/4 X 2   UNC ZB""";"=""Un""";"1736";"1500";"1";"772";"3040";"3811";"4,1517";"30";"13,3410138248848"
